Ward,Primary Type,Count
17,PUBLIC INDECENCY   ,4
17,PUBLIC PEACE VIOLATION     ,1447
17,RITUALISM  ,1
17,ROBBERY    ,9782
17,SEX OFFENSE        ,700
17,STALKING   ,124
17,THEFT      ,31213
17,WEAPONS VIOLATION  ,5102
18,ARSON      ,184
18,ASSAULT    ,7965
18,BATTERY    ,20520
18,BURGLARY   ,9535
18,CONCEALED CARRY LICENSE VIOLATION  ,3
18,CRIM SEXUAL ASSAULT        ,449
18,CRIMINAL DAMAGE    ,16182
18,CRIMINAL SEXUAL ASSAULT    ,51
18,CRIMINAL TRESPASS  ,2430
18,DECEPTIVE PRACTICE ,4834
18,GAMBLING   ,171
18,HOMICIDE   ,201
18,HUMAN TRAFFICKING  ,1
18,INTERFERENCE WITH PUBLIC OFFICER   ,207
18,INTIMIDATION       ,59
18,KIDNAPPING ,139
18,LIQUOR LAW VIOLATION       ,111
18,MOTOR VEHICLE THEFT        ,6269
18,NARCOTICS  ,6745
18,NON - CRIMINAL     ,4
18,NON-CRIMINAL       ,3
18,OBSCENITY  ,23
18,OFFENSE INVOLVING CHILDREN ,1120
18,OTHER NARCOTIC VIOLATION   ,1
18,OTHER OFFENSE      ,8362
18,PROSTITUTION       ,176
18,PUBLIC PEACE VIOLATION     ,805
18,ROBBERY    ,4987
18,SEX OFFENSE        ,392
18,STALKING   ,70
18,THEFT      ,19900
18,WEAPONS VIOLATION  ,1456
19,ARSON      ,67
19,ASSAULT    ,3843
19,BATTERY    ,8512
19,BURGLARY   ,4116
19,CONCEALED CARRY LICENSE VIOLATION  ,4
19,CRIM SEXUAL ASSAULT        ,174
19,CRIMINAL DAMAGE    ,8635
19,CRIMINAL SEXUAL ASSAULT    ,19
19,CRIMINAL TRESPASS  ,1673
19,DECEPTIVE PRACTICE ,4732
19,GAMBLING   ,20
19,HOMICIDE   ,36
19,INTERFERENCE WITH PUBLIC OFFICER   ,87
19,INTIMIDATION       ,55
19,KIDNAPPING ,212
19,LIQUOR LAW VIOLATION       ,189
19,MOTOR VEHICLE THEFT        ,2294
19,NARCOTICS  ,1984
19,NON-CRIMINAL       ,2
19,OBSCENITY  ,14
19,OFFENSE INVOLVING CHILDREN ,889
19,OTHER NARCOTIC VIOLATION   ,1
19,OTHER OFFENSE      ,5591
19,PROSTITUTION       ,11
19,PUBLIC INDECENCY   ,1
19,PUBLIC PEACE VIOLATION     ,425
19,ROBBERY    ,1450
19,SEX OFFENSE        ,269
19,STALKING   ,60
19,THEFT      ,14874
19,WEAPONS VIOLATION  ,340
2,ARSON       ,156
2,ASSAULT     ,13719
2,BATTERY     ,36201
2,BURGLARY    ,6853
2,CONCEALED CARRY LICENSE VIOLATION   ,10
2,CRIM SEXUAL ASSAULT ,773
2,CRIMINAL DAMAGE     ,19971
2,CRIMINAL SEXUAL ASSAULT     ,92
2,CRIMINAL TRESPASS   ,13759
2,DECEPTIVE PRACTICE  ,15099
2,GAMBLING    ,369
2,HOMICIDE    ,220
2,HUMAN TRAFFICKING   ,9
2,INTERFERENCE WITH PUBLIC OFFICER    ,375
2,INTIMIDATION        ,154
2,KIDNAPPING  ,110
2,LIQUOR LAW VIOLATION        ,311
2,MOTOR VEHICLE THEFT ,9574
2,NARCOTICS   ,23842
2,NON - CRIMINAL      ,1
2,NON-CRIMINAL        ,10
2,OBSCENITY   ,23
2,OFFENSE INVOLVING CHILDREN  ,1053
2,OTHER NARCOTIC VIOLATION    ,7
2,OTHER OFFENSE       ,12454
2,PROSTITUTION        ,4021
2,PUBLIC INDECENCY    ,11
2,PUBLIC PEACE VIOLATION      ,1893
2,ROBBERY     ,8396
2,SEX OFFENSE ,927
2,STALKING    ,146
2,THEFT       ,77537
2,WEAPONS VIOLATION   ,1461
20,ARSON      ,359
20,ASSAULT    ,17094
20,BATTERY    ,51809
20,BURGLARY   ,13114
20,CONCEALED CARRY LICENSE VIOLATION  ,14
20,CRIM SEXUAL ASSAULT        ,1074
20,CRIMINAL DAMAGE    ,24804
20,CRIMINAL SEXUAL ASSAULT    ,128
20,CRIMINAL TRESPASS  ,9077
20,DECEPTIVE PRACTICE ,5642
20,GAMBLING   ,731
20,HOMICIDE   ,540
20,HUMAN TRAFFICKING  ,4
20,INTERFERENCE WITH PUBLIC OFFICER   ,708
20,INTIMIDATION       ,118
20,KIDNAPPING ,197
20,LIQUOR LAW VIOLATION       ,239
20,MOTOR VEHICLE THEFT        ,9391
20,NARCOTICS  ,23761
20,OBSCENITY  ,22
20,OFFENSE INVOLVING CHILDREN ,1925
20,OTHER NARCOTIC VIOLATION   ,1
20,OTHER OFFENSE      ,14373
20,PROSTITUTION       ,2274
20,PUBLIC INDECENCY   ,3
20,PUBLIC PEACE VIOLATION     ,1636
20,RITUALISM  ,1
20,ROBBERY    ,10106
20,SEX OFFENSE        ,830
20,STALKING   ,117
20,THEFT      ,30481
20,WEAPONS VIOLATION  ,3985
21,ARSON      ,282
21,ASSAULT    ,14678
21,BATTERY    ,39445
21,BURGLARY   ,11500
21,CONCEALED CARRY LICENSE VIOLATION  ,21
